,PubChem CID
646,23897
647,23925
648,23926
649,23951
650,23954
651,23957
652,23976
653,23978
654,23982
655,23993
656,23994
657,24066
658,24087
659,24414
660,24424
661,24450
662,24642
663,24706
664,24841
665,25419
666,25959
667,26069
668,26133
669,26757
670,26934
671,26986
672,27304
673,27350
674,27400
675,27447
676,27661
677,27991
678,28332
679,28417
680,28486
681,28864
682,29029
683,29089
684,29327
685,30323
686,30751
687,31072
688,31100
689,31264
690,31307
691,31378
692,31401
693,31477
694,31703
695,32169
696,32603
697,32798
698,32874
699,33036
700,33255
701,33613
702,33624
703,33741
704,34312
705,34359
706,35370
707,36294
708,36339
709,36462
710,36523
711,36811
712,37392
713,37464
714,37542
715,37720
716,37768
717,38852
718,38904
719,39042
720,39147
721,39186
722,39468
723,39507
724,39764
725,39860
726,40291
727,40326
728,40632
729,40692
730,40703
731,40973
732,40976
733,41684
734,41693
735,41744
736,41774
737,41781
738,41867
739,42113
740,42395
741,42593
742,42890
743,43232
744,43672
745,43815
746,44093
747,44257
748,44563
749,44564
750,45469
751,47319
752,47320
753,47471
754,47528
755,47641
756,47725
757,47811
758,47964
759,50224
760,50294
761,50599
762,51038
763,51263
764,51634
765,52421
766,53024
767,53232
768,54158
769,54259
770,54331
771,54373
772,54384
773,54454
774,54687
775,54746
776,54786
777,54840
778,54891
779,54949
780,55188
781,55245
782,55283
783,55331
784,55466
785,55480
786,55891
787,56329
788,56338
789,56959
790,57166
791,57363
792,57469
793,57697
794,59226
795,59768
796,60026
797,60164
798,60172
799,60184
800,60198
801,60464
802,60490
803,60496
804,60606
805,60612
806,60613
807,60648
808,60656
809,60668
810,60699
811,60706
812,60714
813,60726
814,60749
815,60751
816,60752
817,60754
818,60772
819,60774
820,60779
821,60795
822,60814
823,60822
824,60825
825,60830
826,60834
827,60837
828,60843
829,60846
830,60852
831,60853
832,60855
833,60857
834,60860
835,60871
836,60877
837,60934
838,60936
839,60946
840,60953
841,60961
842,61475
843,61799
844,62305
845,62358
846,62816
847,62819
848,62886
849,62956
850,62959
851,62965
852,63009
853,64139
854,64142
855,64147
856,64710
857,64730
858,64778
859,64780
860,64929
861,65014
862,65016
863,65028
864,65139
865,65157
866,65281
867,65370
868,65492
869,65628
870,65840
871,65856
872,65863
873,65866
874,65981
875,65999
876,66370
877,68613
878,68740
879,68844
880,69512
881,71158
882,71301
883,71329
884,71348
885,71360
886,71384
887,71386
888,71406
889,71414
890,71415
891,71469
892,71616
893,72022
894,72081
895,72165
896,72170
897,72286
898,72466
899,73303
900,73491
901,74989
902,77990
903,77992
904,77993
905,77997
906,77998
907,78032
908,82146
909,82148
910,82153
911,83030
912,83898
913,84003
914,84029
915,89594
916,91429
917,91488
918,92253
919,92721
920,92974
921,101526
922,104741
923,104758
924,104798
925,104799
926,104810
927,104849
928,104865
929,105145
930,107694
931,107807
932,107969
933,107994
934,108150
935,110634
936,110635
937,115237
938,115355
939,119182
940,119212
941,119569
942,119607
943,119828
944,121396
945,121749
946,121892
947,123600
948,123606
949,123610
950,123611
951,123619
952,123631
953,123634
954,123809
955,124087
956,125017
957,126941
958,129211
959,129228
960,130881
961,131204
962,131535
963,132971
964,132999
965,134018
966,134019
967,134780
968,135113
969,135326
970,145068
971,146570
972,147740
973,148121
974,148123
975,148192
976,148211
977,149096
978,149436
979,150311
980,150610
981,151075
982,151165
983,151171
984,152945
985,153941
986,153994
987,154058
988,154100
989,154256
990,154417
991,156391
992,156418
993,157688
994,157920
995,157921
996,158781
997,158786
998,159247
999,159269
1000,160051
1001,160352
1002,163091
1003,163296
1004,164522
1005,165579
1006,166548
1007,168625
1008,168708
1009,168924
1010,170361
1011,171558
1012,174174
1013,175804
1014,176870
1015,179344
1016,185457
1017,192155
1018,193962
1019,197281
1020,197712
1021,206527
1022,208898
1023,208902
1024,208908
1025,213039
1026,213046
1027,216210
1028,216235
1029,216237
1030,216239
1031,216258
1032,216326
1033,216416
1034,219024
1035,219078
1036,219090
1037,221493
1038,222786
1039,225609
1040,241902
1041,247839
1042,259329
1043,259331
1044,358641
1045,383413
1046,387447
1047,392622
1048,439260
1049,439302
1050,439693
1051,441129
1052,441140
1053,441193
1054,441199
1055,441276
1056,441277
1057,441290
1058,441300
1059,441313
1060,441314
1061,441335
1062,441336
1063,441350
1064,441383
1065,441401
1066,443385
1067,443872
1068,443878
1069,443884
1070,443936
1071,443943
1072,443953
1073,443958
1074,444006
1075,444008
1076,444013
1077,444025
1078,444030
1079,444036
1080,444412
1081,444795
1082,445226
1083,445354
1084,445643
1085,446155
1086,446156
1087,446157
1088,446220
1089,446284
1090,446541
1091,446596
1092,447043
1093,448812
1094,449171
1095,449193
1096,449677
1097,449688
1098,450096
1099,450503
1100,451668
1101,452548
1102,455658
1103,456201
1104,460612
1105,464205
1106,466146
1107,468595
1108,474409
1109,477468
1110,489181
1111,517045
1112,636374
1113,636380
1114,638678
1115,644241
1116,657180
1117,657237
1118,657298
1119,667477
1120,667490
1121,688020
1122,708857
1123,941650
1124,941651
1125,969472
1126,1349907
1127,1548886
1128,1548943
1129,1548952
1130,1548954
1131,1548999
1132,1549007
1133,2723601
1134,2723876
1135,2724354
1136,2724385
1137,2733525
1138,2761171
1139,2826718
1140,3000226
1141,3001028
1142,3001055
1143,3002190
1144,3002977
1145,3003141
1146,3005572
1147,3007855
1148,3010818
1149,3011155
1150,3032400
1151,3032525
1152,3032583
1153,3033637
1154,3033825
1155,3034010
1156,3034756
1157,3034812
1158,3036505
1159,3036780
1160,3038497
1161,3052762
1162,3052775
1163,3062316
1164,3080904
1165,3081361
1166,3081884
1167,3083544
1168,3085017
1169,3086257
1170,3086674
1171,4369359
1172,4517618
1173,4659569
1174,5001396
1175,5273759
1176,5277135
1177,5280360
1178,5280363
1179,5280453
1180,5280483
1181,5280723
1182,5280754
1183,5280793
1184,5280954
1185,5280965
1186,5281004
1187,5281006
1188,5281034
1189,5281037
1190,5281040
1191,5281042
1192,5281071
1193,5281075
1194,5281078
1195,5281081
1196,5281099
1197,5281104
1198,5281107
1199,5282175
1200,5282226
1201,5282241
1202,5282379
1203,5282380
1204,5282381
1205,5282411
1206,5282415
1207,5282425
1208,5282451
1209,5282593
1210,5284371
1211,5284513
1212,5284537
1213,5284543
1214,5284549
1215,5284555
1216,5284566
1217,5284569
1218,5284570
1219,5284583
1220,5284594
1221,5284596
1222,5284603
1223,5284604
1224,5284616
1225,5284627
1226,5288169
1227,5288783
1228,5288826
1229,5289223
1230,5310993
1231,5311000
1232,5311027
1233,5311051
1234,5311052
1235,5311065
1236,5311066
1237,5311067
1238,5311068
1239,5311101
1240,5311167
1241,5311181
1242,5311221
1243,5311236
1244,5311304
1245,5311309
1246,5311412
1247,5311454
1248,5311498
1249,5311507
1250,5312125
1251,5324345
1252,5327147
1253,5328940
1254,5329098
1255,5329102
1256,5352019
1257,5352062
1258,5353562
1259,5353853
1260,5353894
1261,5359272
1262,5359476
1263,5359596
1264,5360237
1265,5360373
1266,5360515
1267,5360696
1268,5361092
1269,5361917
1270,5362051
1271,5362065
1272,5362070
1273,5362118
1274,5362123
1275,5362129
1276,5362420
1277,5362440
1278,5381226
1279,5384001
1280,5386092
1281,5388906
1282,5388961
1283,5458213
1284,5460037
1285,5460193
1286,5462337
1287,5462501
1288,5463984
1289,5464096
1290,5464097
1291,5479529
1292,5479530
1293,5479537
1294,5480431
1295,5481173
1296,5481350
1297,5484727
1298,5486971
1299,5487068
1300,5487301
1301,5488547
1302,5493381
1303,5493444
1304,5702160
1305,5742673
1306,5742832
1307,6003770
1308,6178111
1309,6321408
1310,6321411
1311,6321416
1312,6323490
1313,6323497
1314,6324671
1315,6326970
1316,6328144
1317,6328526
1318,6335986
1319,6337614
1320,6419957
1321,6433082
1322,6433212
1323,6433272
1324,6434870
1325,6435110
1326,6435378
1327,6435755
1328,6436131
1329,6436173
1330,6437075
1331,6437877
1332,6442177
1333,6445540
1334,6450551
1335,6451164
1336,6452749
1337,6453361
1338,6480466
1339,6509979
1340,6533629
1341,6540461
1342,6602291
1343,6604100
1344,6604200
1345,6708482
1346,6714002
1347,6714010
1348,6850789
1349,6850791
1350,6915944
1351,6917715
1352,6917778
1353,6918010
1354,6918140
1355,6918155
1356,6918172
1357,6918182
1358,6918193
1359,6918204
1360,6918250
1361,6918289
1362,6918296
1363,6918313
1364,6918365
1365,6918366
1366,6918453
1367,6918456
1368,6918493
1369,6918537
1370,6918554
1371,6918558
1372,6918584
1373,6918638
1374,6918670
1375,9552079
1376,9567573
1377,9568613
1378,9571107
1379,9578005
1380,9578572
1381,9579578
1382,9690109
1383,9815560
1384,9825285
1385,9831414
1386,9831761
1387,9831783
1388,9833444
1389,9838021
1390,9852981
1391,9853053
1392,9854073
1393,9854489
1394,9865528
1395,9868491
1396,9869929
1397,9871419
1398,9875401
1399,9881504
1400,9887712
1401,9898619
1402,9916860
1403,9924495
1404,9926791
1405,9930048
1406,9940864
1407,9960701
1408,9966051
1409,10034073
1410,10077129
1411,10096344
1412,10113978
1413,10178705
1414,10182969
1415,10184653
1416,10220503
1417,10324367
1418,10482134
1419,11001318
1420,11020241
1421,11167602
1422,11234049
1423,11238823
1424,11243969
1425,11254352
1426,11304743
1427,11450633
1428,11467166
1429,11499245
1430,11501341
1431,11504294
1432,11505907
1433,11519069
1434,11556711
1435,11561674
1436,11593706
1437,11597697
1438,11626560
1439,11658859
1440,11672461
1441,11672602
1442,11707110
1443,11947681
1444,11949646
1445,11979316
1446,12993649
1447,13559281
1448,14476155
1449,15950376
1450,15951529
1451,16004692
1452,16019977
